year,month,product,location,type,price_then,price_now
2026,July,Trecento,Nairobi Town,Deal of the Week,2100.0,1700.0
2026,July,Antitheft,Nakuru,Deal of the Week,2600.0,2200.0
2026,July,Avana HB,Nakuru,Deal of the Week,2100.0,1700.0
2026,July,Kate,Nakuru,Deal of the Week,1600.0,1200.0
2026,July,Mini Zuri,Nakuru,Deal of the Week,2600.0,2200.0
2026,July,Moon Bag,Nakuru,Deal of the Week,1600.0,1200.0
2026,July,Neo Man,Nakuru,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Nakuru,Deal of the Week,1600.0,1200.0
2026,July,Sierra Handbag,Nakuru,Deal of the Week,2700.0,2300.0
2026,July,Antitheft,Nanyuki,Deal of the Week,2600.0,2200.0
2026,July,Cairo Bp,Nanyuki,Deal of the Week,2100.0,1700.0
2026,July,College Hb,Nanyuki,Deal of the Week,2600.0,2200.0
2026,July,Kate,Nanyuki,Deal of the Week,1600.0,1200.0
2026,July,Liam,Nanyuki,Deal of the Week,2100.0,1700.0
2026,July,Moon Bag,Nanyuki,Deal of the Week,1600.0,1200.0
2026,July,Oval Handbag,Nanyuki,Deal of the Week,1600.0,1200.0
2026,July,Reo Travel,Nanyuki,Deal of the Week,2800.0,2400.0
2026,July,Amaya,Rongai,Deal of the Week,3500.0,3100.0
2026,July,Antitheft,Rongai,Deal of the Week,2600.0,2200.0
2026,July,Aurora,Rongai,Deal of the Week,2100.0,1700.0
2026,July,Gym Bag,Rongai,Deal of the Week,2600.0,2200.0
2026,July,Jade,Rongai,Deal of the Week,3100.0,2700.0
2026,July,Moon Bag,Rongai,Deal of the Week,1600.0,1200.0
2026,July,Pocket Travel,Rongai,Deal of the Week,3600.0,3200.0
2026,July,Sierra Handbag,Rongai,Deal of the Week,2700.0,2300.0
2026,July,Zuri,Rongai,Deal of the Week,3600.0,3200.0
2026,July,Aurora,Sinza,Singles,2200.0,1800.0
2026,July,Bonita,Sinza,Singles,4000.0,3600.0
2026,July,Elyse,Sinza,Singles,3200.0,2800.0
2026,July,Fabela,Sinza,Singles,2500.0,2100.0
2026,July,Fanny Pack,Sinza,Singles,700.0,300.0
2026,July,Imani,Sinza,Singles,3100.0,2500.0
2026,July,Jade,Sinza,Singles,3200.0,2800.0
2026,July,Legacy,Sinza,Singles,3600.0,3200.0
2026,July,Mega,Sinza,Singles,3100.0,2700.0
2026,July,Washbag,Sinza,Singles,1700.0,1300.0
2026,July,Aurora,Thika,Deal of the Week,2100.0,1700.0
2026,July,Butterfly Sling,Thika,Deal of the Week,1600.0,1200.0
2026,July,Kate,Thika,Deal of the Week,1600.0,1200.0
2026,July,Mandy Hb,Thika,Deal of the Week,1500.0,1100.0
2026,July,Mini Zuri,Thika,Deal of the Week,2600.0,2200.0
2026,July,Moon Bag,Thika,Deal of the Week,1600.0,1200.0
2026,July,Prime,Thika,Deal of the Week,2800.0,2400.0
2026,July,Reo Travel,Thika,Deal of the Week,2800.0,2400.0
2026,July,Zoezi,Thika,Deal of the Week,3600.0,3200.0
2026,July,Antitheft,Uganda,Singles,3258.62,2327.59
2026,July,Avana HB,Uganda,Singles,2655.17,1896.55
2026,July,Big Man Bag,Uganda,Singles,2655.17,1896.55
2026,July,Jumbo,Uganda,Singles,4465.52,3465.52
2026,July,Kai,Uganda,Singles,3500.0,2844.83
2026,July,Kayla,Uganda,Singles,2534.48,1810.34
2026,July,Mandy HB,Uganda,Singles,1931.03,1379.31
2026,July,Mini School,Uganda,Singles,2293.1,1637.93
2026,July,Mini Zuri,Uganda,Singles,3258.62,2327.59
2026,July,Moon Bag,Uganda,Singles,2051.72,1465.52
2026,July,Neo Man,Uganda,Singles,2051.72,1465.52
2026,July,Nizana,Uganda,Singles,2051.72,1465.52
2026,July,Pioneer,Uganda,Singles,3258.62,2396.55
2026,July,Skye HB,Uganda,Singles,2534.48,1810.34
2026,July,Zane Man,Uganda,Singles,2051.72,1465.52
2026,July,satchel,Uganda,Singles,3862.07,2931.03
2026,July,Antitheft,Website,Deal of the Week,2600.0,2200.0
2026,July,Fayola,Website,Deal of the Week,2100.0,1700.0
2026,July,Gym Bag,Website,Deal of the Week,2600.0,2200.0
2026,July,Jade,Website,Deal of the Week,3100.0,2700.0
2026,July,Kaz,Website,Deal of the Week,2000.0,1600.0
2026,July,Mini Umbra,Website,Deal of the Week,1600.0,1200.0
2026,July,Neo Man,Website,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Website,Deal of the Week,1600.0,1200.0
2026,July,Remi,Website,Deal of the Week,2700.0,2300.0
2026,July,Sierra Handbag,Website,Deal of the Week,2700.0,2300.0
2026,June,Amaya,Sinza,Singles,3600.0,2600.0
2026,June,Antitheft,Sinza,Special Offers,2700.0,2300.0
2026,June,Arm band,Sinza,Singles,1300.0,900.0
2026,June,Aurora,Sinza,Singles,2200.0,1800.0
2026,June,Avana HB,Sinza,Special Offers,2200.0,1800.0
2026,June,Belt Bag,Sinza,Singles,1500.0,1100.0
2026,June,Big Man Bag,Sinza,Special Offers,2200.0,1800.0
2026,June,Claire Handbag,Sinza,Special Offers,3100.0,2700.0
2026,June,Code 3,Sinza,Singles,2200.0,1800.0
2026,June,Elyse,Sinza,Special Offers,3200.0,2800.0
2026,June,Gym Bag,Sinza,Special Offers,2700.0,2300.0
2026,June,Kai,Sinza,Singles,2900.0,2500.0
2026,June,Kate,Sinza,Special Offers,1700.0,1300.0
2026,June,Lola,Sinza,Special Offers,2200.0,1800.0
2026,June,Mini Manbag,Sinza,Singles,1700.0,1300.0
2026,June,Nizana,Sinza,Singles,1700.0,1300.0
2026,June,Sierra Handbag,Sinza,Singles,2800.0,2400.0
2026,June,Wander Luxe,Sinza,Special Offers,3200.0,2800.0
2026,June,Zane Man,Sinza,Special Offers,1700.0,1300.0
2026,June,Zoezi,Sinza,Singles,3700.0,3300.0
2026,June,Code 3,Uganda,Singles,2655.17,2000.0
2026,June,Jumbo,Uganda,Singles,4465.52,3603.45
2026,June,Kai,Uganda,Singles,3500.0,2637.93
2026,June,Lola,Uganda,Singles,2655.17,2000.0
2026,June,Man Bag,Uganda,Singles,2051.72,1465.52
